7591020009577;GENCER;DIPIRONA 1GR/2ML AMP I.V. (GENCER) FV.09/2027;29;103.1525
228598745626;CRUZ VERDE;DIPIRONA 1GR/2ML AMP I.V/I.M (CRUZ VERDE) F.V 11/2025;1462;19.9650
7707184160232;FARMIONNI;DIPIRONA 1GR/2ML AMP I.V/I.M (FARMIONNI) FV. 04/2027;2646;21.9615
736372827227;GLOBAL MEDIC;DIPIRONA 1GR/2ML AMP I.V/I.M (GLOBAL MEDIC) FV. 04/2026;95;27.2855
75995130001148;VINCENTI;DIPIRONA 1GR/2ML AMP I.V/I.M (VINCENTI) FV. 12/2026;14;81.8565
7707236128814;VITALIS;DIPIRONA 1GR/2ML AMP I.V/I.M (VITALIS) FV. 05/2027;1916;31.2785
7592432017877;VIVAX;DIPROP. BETAME 6.43MG+FOSF DISO BETA 2.63MG (BETADUO) AMP I.M JERING PRELLENADA X 1ML (VIVAX) FV.09/2026;20;822.5580
7703153041212;VIVAX;DIPROP. BETAMETASONA 6.43MG+FOSF DISO BETAMETASONA 2.631MG (BETADUO) AMP I.M  X 1ML (VIVAX) FV. 05/2026;522;487.8115
7591243803730;BIOTECH;DIPROP. DE BETAM 2MG/ML+FOSF. DE BETAM 5MG/ML (BEPROSPEN 7) CJX1 AMP I.M+JERINGA 3CC (BIOTECH) FV. 10/2026;36;657.5140
;BIOTECH;DIPROPIONATO DE BETAM 2MG/ML+FOSFATO DE BETAM 5MG/ML (BEPROSPEN 7) AMP I.M (BIOTECH) FV. 02/2027;145;428.5820
7800061150187;BIOSANO;DOBUTAMINA 250MG/5ML AMP I.V (BIOSANO) FV. 03/2027;66;547.0410
7800061160186;BIOSANO;DOPAMINA 200MG/5ML AMP I.V (BIOSANO) FV. 12/2026;41;118.4590
8906130233566;BRIXMEDIC;DOPAMINA 200MG/5ML AMP I.V (BRIXMEDIC) FV. 10/2026;9;117.7935
7501125115561;PISA;DOPAMINA 250MG/5ML (INOTROPISA) AMP I.V (PISA) FV. 06/2026;10;133.1000
7800061170109;BIOSANO;EFEDRINA SULFATO 6% / 1ML AMP I.V/I.M/S.C (BIOSANO) FV. 08/2028;1165;332.7500
7592637005013;BEHRENS;ELEMENTOS TRAZA (TRAZEL) AMP X 10ML (BEHRENS) FV. 12/2027;20;410.6135
791466995978;DPT;ENANT. DE NORETISTER 50MG/ML+VAL. DE ESTRAD 5MG (MESYFEM) AMP I.M JERINGA PRELLENADA X 1ML (DPT) FV.03/2026;30;528.4070
196852522460;TIARES;ENANTATO DE NORETISTERONA 50MG/ML + VALERATO DE ESTRADIOL 5MG (MAITE) AMP I.M (TIARES) FV. 02/2026;285;421.2615
8908003460598;2N;ENANTATO DE NORETISTERONA 50MG/ML + VALERATO DE ESTRADIOL 5MG (NOR-GYNA) AMP I.M (2N) FV. 01/2027;28;362.0320
7908020502524;CIFARMA;ENANTATO DE NORETISTERONA 50MG/ML + VALERATO DE ESTRADIOL 5MG AMP I.M (CIFARMA) F.V 11/2025;900;269.9601
8500002970032;DELTA;ERITROPOYETINA HUMANA 4000IU AMP X 1ML S.C/I.V (DELTA) F.V 03/2027;144;600.9465
8906012341662;VIDA LABS;ESOMEPRAZOL 40MG (ESPRAZ) AMP I.V (VIDA LABS) FV. 11/2025;10;94.5010
6921875050225;ALFA;ESOMEPRAZOL 40MG AMP I.V (ALFA) FV. 11/2026;99;121.1210
7598455000209;BIOGLASS;FENITOINA 250MG/5ML (BIOFENIT) AMP I.V/I.M (BIOGLASS) FV. 03/2026;98;81.8565
8906112611863;ADN DESCUENTO;FENITOINA 250MG/5ML (PHENYTOPRA) AMP I.V/I.M (ADN MEDICAL) FV. 10/2026;87;51.2102
